"items","support","count"
"{付費=否}",0.57692,28846
"{依賴_低}",0.5331,26655
"{政策=Allowed_With_Citation}",0.50448,25224
"{付費=是}",0.42308,21154
"{倦怠=Medium}",0.42288,21144
"{焦慮_低}",0.38426,19213
"{技能=Beginner}",0.3699,18495
"{技能=Intermediate}",0.35392,17696
"{焦慮_中}",0.33942,16971
"{AI時數_低}",0.33388,16694
"{自學_低}",0.33382,16691
"{GPA_下降}",0.33378,16689
"{AI時數_高}",0.33328,16664
"{GPA_持平}",0.33322,16661
"{自學_中}",0.33312,16656
"{自學_高}",0.33306,16653
"{GPA_上升}",0.333,16650
"{AI時數_中}",0.33284,16642
"{付費=否,依賴_低}",0.33072,16536
"{倦怠=Low}",0.32738,16369
"{主修=STEM}",0.30118,15059
"{政策=Actively_Encouraged}",0.29976,14988
"{付費=否,政策=Allowed_With_Citation}",0.29042,14521
"{焦慮_高}",0.27632,13816
"{技能=Advanced}",0.27618,13809
"{依賴_低,政策=Allowed_With_Citation}",0.26856,13428
"{依賴_高}",0.26822,13411
"{AI時數_低,依賴_低}",0.25188,12594
"{主修=Business}",0.25076,12538
"{付費=否,倦怠=Medium}",0.24982,12491
"{倦怠=High}",0.24974,12487
"{依賴_低,焦慮_低}",0.24954,12477
"{用途=Debugging/Troubleshooting}",0.2459,12295
"{用途=Copywriting/Drafting}",0.24022,12011
"{付費=否,焦慮_低}",0.2322,11610
"{依賴_低,倦怠=Medium}",0.2319,11595
"{依賴_低,倦怠=Low}",0.22446,11223
"{年級=Junior}",0.2209,11045
"{年級=Freshman}",0.22062,11031
"{倦怠=Medium,政策=Allowed_With_Citation}",0.21786,10893
"{付費=否,技能=Beginner}",0.21666,10833
"{AI時數_低,付費=否}",0.21612,10806
"{AI時數_中,付費=否}",0.21566,10783
"{用途=Ideation}",0.21442,10721
"{付費=是,政策=Allowed_With_Citation}",0.21406,10703
"{年級=Senior}",0.21268,10634
"{付費=否,倦怠=Low}",0.20532,10266
"{付費=否,技能=Intermediate}",0.20374,10187
"{付費=是,依賴_低}",0.20238,10119
"{政策=Allowed_With_Citation,焦慮_低}",0.20194,10097
"{AI時數_中,依賴_低}",0.2002,10010
"{主修=Humanities}",0.19988,9994
"{依賴_中}",0.19868,9934
"{付費=否,自學_高}",0.19806,9903
"{依賴_低,技能=Beginner}",0.1978,9890
"{年級=Sophomore}",0.1972,9860
"{付費=否,焦慮_中}",0.19634,9817
"{政策=Strict_Ban}",0.19576,9788
"{GPA_下降,付費=否}",0.19562,9781
"{GPA_持平,付費=否}",0.19538,9769
"{付費=否,自學_中}",0.19194,9597
