"antecedents_str","consequents_str","support","confidence","lift"
"{依賴_高,倦怠=High,焦慮_高}","{AI時數_高}",0.05514,0.930161943319838,2.79093237914018
"{付費=是,依賴_高,倦怠=High}","{AI時數_高}",0.06728,0.923161361141603,2.76992727178829
"{AI時數_高,倦怠=High,焦慮_高}","{依賴_高}",0.05514,0.739340305711987,2.75646971035712
"{依賴_高,倦怠=High,自學_低}","{AI時數_高}",0.0511,0.902507947721653,2.70795711630357
"{依賴_高,倦怠=High}","{AI時數_高}",0.10982,0.878138493523109,2.63483705449805
"{依賴_高,倦怠=High,政策=Allowed_With_Citation}","{AI時數_高}",0.0527,0.871650678134304,2.6153704936819
"{AI時數_高,倦怠=High,自學_低}","{依賴_高}",0.0511,0.7,2.60979792707479
"{AI時數_高,付費=是,倦怠=High}","{依賴_高}",0.06728,0.697346600331675,2.59990530285465
"{AI時數_高,依賴_高,自學_低}","{倦怠=High}",0.0511,0.64732708386116,2.59200401962505
"{AI時數_高,倦怠=High,政策=Allowed_With_Citation}","{依賴_高}",0.0527,0.690151911995809,2.57308147041909
"{付費=是,依賴_高,焦慮_高}","{AI時數_高}",0.05274,0.853950777202073,2.56226229357319
"{AI時數_高,依賴_高,焦慮_高}","{倦怠=High}",0.05514,0.634960847535698,2.5424875772231
"{AI時數_高,付費=是,焦慮_高}","{依賴_高}",0.05274,0.678939237899073,2.53127745096963
"{AI時數_高,倦怠=High}","{依賴_高}",0.10982,0.674735807323667,2.51560587325206
"{GPA_上升,主修=STEM}","{用途=Debugging/Troubleshooting}",0.06796,0.60863335124485,2.47512546256548
"{AI時數_高,焦慮_高}","{依賴_高}",0.08684,0.65440844009043,2.43981970058321
"{AI時數_高,付費=是,依賴_高}","{倦怠=High}",0.06728,0.606891574959408,2.4300935971787
"{倦怠=High,焦慮_高}","{AI時數_高}",0.07458,0.792561105207226,2.37806380583061
"{付費=是,依賴_高}","{AI時數_高}",0.11086,0.79219665570959,2.37697028237395
"{付費=是,依賴_高,政策=Allowed_With_Citation}","{AI時數_高}",0.05678,0.789927657206455,2.37016219757098
"{AI時數_高,依賴_高}","{倦怠=High}",0.10982,0.58960592719854,2.36087902297806
"{倦怠=High,焦慮_高}","{依賴_高}",0.05928,0.629968119022317,2.34869927306807
"{AI時數_高,用途=Debugging/Troubleshooting}","{主修=STEM}",0.06528,0.706187797490264,2.34473669397126
"{主修=STEM,依賴_高}","{AI時數_高}",0.07596,0.78003696857671,2.34048538339147
"{依賴_高,焦慮_高}","{AI時數_高}",0.08684,0.772048364153627,2.31651573497848
"{依賴_高,用途=Debugging/Troubleshooting}","{主修=STEM}",0.05032,0.697532575547546,2.31599898913456
"{技能=Advanced,用途=Debugging/Troubleshooting}","{主修=STEM}",0.05256,0.695974576271186,2.31082600528317
"{依賴_高,自學_低}","{AI時數_高}",0.07894,0.756855225311601,2.27092902457874
"{依賴_低,用途=Ideation}","{主修=Business}",0.06548,0.568106888773208,2.2655403125427
"{付費=是,倦怠=High}","{AI時數_高}",0.09648,0.753985620506408,2.26231883253243
"{AI時數_高,焦慮_高}","{倦怠=High}",0.07458,0.562019593067069,2.25041880782842
"{付費=否,用途=Ideation}","{主修=Business}",0.06956,0.561329890251775,2.23851447699703
"{主修=STEM,倦怠=High}","{AI時數_高}",0.06738,0.745849014832854,2.23790510931605
"{用途=Ideation}","{主修=Business}",0.12006,0.559929111090383,2.23292834220124
"{政策=Allowed_With_Citation,用途=Ideation}","{主修=Business}",0.06046,0.559814814814815,2.23247254272936
"{AI時數_高,依賴_高,政策=Allowed_With_Citation}","{倦怠=High}",0.0527,0.55708245243129,2.23064968539797
"{AI時數_高,主修=STEM}","{依賴_高}",0.07596,0.597075931457318,2.22606789746223
"{依賴_高,用途=Debugging/Troubleshooting}","{AI時數_高}",0.05352,0.741890767951206,2.22602846840856
"{付費=是,用途=Ideation}","{主修=Business}",0.0505,0.558011049723757,2.22527934967202
"{AI時數_高,付費=是,政策=Allowed_With_Citation}","{依賴_高}",0.05678,0.595053447914483,2.21852750695132
"{AI時數_高,GPA_下降}","{依賴_高}",0.06602,0.592320114839404,2.2083368683894
"{AI時數_高,付費=是}","{依賴_高}",0.11086,0.589242053789731,2.19686098646533
"{付費=是,用途=Debugging/Troubleshooting}","{主修=STEM}",0.0714,0.661601186063751,2.19669694555997
"{AI時數_高,自學_低}","{依賴_高}",0.07894,0.58910447761194,2.19634806357446
"{倦怠=Medium,用途=Ideation}","{主修=Business}",0.0502,0.549474605954466,2.1912370631459
"{AI時數_高,自學_低}","{倦怠=High}",0.073,0.544776119402985,2.18137310564181
